website,category,phone,company_name,address,email
,Beauty-Salons,876-926-6639,Salon 10,10 Hope Rd Kingston 10 Jamaica,
http://www.myhairextreme.com,Beauty-Salons,876-906-1193,Hair Extreme Beauty & Barber Concept,Shop 2 New Kgn Shpng Cen Kingston 5 Jamaica,hairextream@hotmail.com
,Beauty-Salons,876-968-0895,Beauty Quest Lifestyles Salon,39 Burlington Ave Kingston 10 Jamaica,beautyquestsalon@hotmail.com
,Beauty-Salons,876-978-3545,Rejuvenation,Shop 22 115 Hope Rd Kingston 6 Jamaica,
,Beauty-Salons,876-929-4263,Ultimate 'U' II Beauty Salon,Shop 26 67 Constant Spring Rd Kingston 10 Jamaica,
,Beauty-Salons,876-906-5638,Hyacinth's Beauty Centre,"Unit 51 Winchester Business Centre, Kingston 10, Jamaica",
,Beauty-Salons,876-906-3576,Supertouch Aestheticians & Accessories Ltd,8 Garelli Ave Kingston 5 Jamaica,supertouch2001@gmail.com
,Beauty-Salons,876-968-6515,Glamour Hair Boutique,51 Hagley Park Rd Kingston 10 Jamaica,
,Beauty-Salons,876-906-9454,Essentially You,Shop 5 68 Hagley Park Rd Kingston 10 Jamaica,
http://www.nahcja.com,Beauty-Salons,876-924-0713,La Femme Jolie Beauty Salon & Spa,Shop 14 Dunrobin Plaza Kingston 10 Jamaica,matneywatson@gmail.com
,Beauty-Salons,876-929-5730,Ruggie's Barber & Beauty Salon,Shop 7 Clock Tower Plaza Kingston 10 Jamaica,
,Beauty-Salons,876-926-6249,Monique's Beauty Home,Central Plaza Kingston 10 Jamaica,lavernbrown70@gmail.com
,Beauty-Salons,876-969-0867,Lowe Desrene,Shop 16 Princeville Commercial Plaza Kingston 10 Jamaica,
,Beauty-Salons,876-969-0867,Desi's Nails,Shop 16 Princeville Commercial Plaza Kingston 10 Jamaica,
http://www.lamariespainstitute.com,Beauty-Salons,876-754-6267,La - Marie Spa & Institute,5 Parish Place Kingston 10 Jamaica,lamariespainstitute@gmail.com
,Beauty-Salons,876-346-3684,Estilo By Scott Natural Hair Salon,Shop 8 2 Molynes Rd Kingston 10 Jamaica,estilobyscott@yahoo.com
,Beauty-Salons,876-926-4481,Faygeo Beauty Salon,"18 Molynes Rd, Kingston 10 Jamaica",
,Beauty-Salons,876-969-3900,Eruption Hair Affair,Shop 24 Princeville Plaza Kingston 10 Jamaica,
,Beauty-Salons,876-929-8831,Maria's Beauty Salon,12 Ruthven Rd Kingston 10 Jamaica,
,Beauty-Salons,876-926-8496,Clipso Hair Studio,20 Eastwood Park Rd Kingston 10 Jamaica,
http://www.grogshoppejm.com,Bars,876-906-7165,Mahogany Tree Bar,26 Hope Rd Kingston 10 Jamaica,
http://www.terranovajamaica.com,Bars,876-926-2211,Regency Bar & Lounge The,"Terra Noval All Suite Hotel, 17 Waterloo Rd Kingston 10 Jamaica",
,Bars,876-925-6395,Macau Gaming Lounge & Bar The,28 Lindsay Cres Kingston 10 Jamaica,
,Bars,876-754-7823,Quad,20 Trinidad Terr Kingston 10 Jamaica,
,Bars,876-396-7845,5:30 PM Social Lounge,"2 North Ave, Kingston, Jamaica",
,Bars,876-758-4374,Island Delight Sports Pub,71B Molynes Rd Kingston 10 Jamaica,
,Bars,876-284-0527,Cognac Lounge,"Shop 5, Consumer Plaza 103 Constant Spring Rd, Kingston, Jamaica",
http://www.barbicanbeachbar.com/,Bars,876-421-0535,Barbican Beach Bar,"13 East Kings House Rd, Kingston 6, Jamaica.",barbicanbeachbar13@gmail.com
,Bars,876-383-6969,Ribbiz Ultra Lounge,"29 East Kings House Rd, Loshusan Plaza, Kingston 6, Jamaica",Email: ribbizja@gmail.com
,Bars,876-455-0004,V Bar,"5 Madrid Ave Independence City Plaza Portmore, St. Catherine Jamaica",
http://www.oceans11ja.com,Bars,876-974-6896,Oceans 11 Watering Hole,"Lot 6 Fisherman Point Rd Ocho Rios, St Ann Jamaica",manbowen@gmail.com
,Bars,876-715-4793,Ocean View Bar,"29 Harbour St Port Antonio, Portland Jamaica",
http://www.pieronejamaica.com,Bars,876-952-2452,Pier - 1 On The Waterfront,"Howard Cooke Blvd Montego Bay, St James Jamaica",info@pieronejamaica.com
,Bars,876-974-7483,Bibibip's Bar & Grill,"93 Main St, Ocho Rios, St. Ann, Jamaica",
,Bars,876-987-1029,Alcojuice Restaurant & Bar,"Toll Gate, Clarendon, Jamaica",alcojuice@netcomm-ja.com
,Bars,876-957-3061,Jungle The,"Norman Manley Blvd Negril, Westmoreland Jamaica",
,Bars,876-957-4746,Boat Bar,"West End Rd, Negril, Westmoreland, Jamaica",
http://www.shadesnightclub.com,Bars,876-974-4713,Shades Adult Entertainment Centre,"Content Gardens, Ocho Rios, St Ann, Jamaica",
,Bars,876-620-8720,Chill Out Hut Restaurant Beach Bar & Grill,"Long Bay Greenwood, St James Jamaica",
,Bars,876-960-1856,Escape 24/7 Bar and Grill & Nightclub,24 Knutsford Blvd Kingston 5 Jamaica,escape24jm@gmail.com
,Pharmacies,876-906-9723,Winchester Global Pharmacy,3A Winchester Rd Kingston 10 Jamaica,
,Pharmacies,876-952-3866,Fontana Pharmacy,"Fairview Town Centre, Montego Bay, St James, Jamaica",
,Pharmacies,876-929-0195,Chesterville Pharmacy And Beauty Supplies Ltd,15 Hope Rd Kingston 10 Jamaica,
