website,category,phone,company_name,address,email
http://www.myhairextreme.com,Beauty-Salons,876-906-1193,Hair Extreme Beauty & Barber Concept,Shop 2 New Kgn Shpng Cen Kingston 5 Jamaica,hairextream@hotmail.com
http://www.nahcja.com,Beauty-Salons,876-924-0713,La Femme Jolie Beauty Salon & Spa,Shop 14 Dunrobin Plaza Kingston 10 Jamaica,matneywatson@gmail.com
http://www.lamariespainstitute.com,Beauty-Salons,876-754-6267,La - Marie Spa & Institute,5 Parish Place Kingston 10 Jamaica,lamariespainstitute@gmail.com
http://www.grogshoppejm.com,Bars,876-906-7165,Mahogany Tree Bar,26 Hope Rd Kingston 10 Jamaica,
http://www.terranovajamaica.com,Bars,876-926-2211,Regency Bar & Lounge The,"Terra Noval All Suite Hotel, 17 Waterloo Rd Kingston 10 Jamaica",
http://www.barbicanbeachbar.com/,Bars,876-421-0535,Barbican Beach Bar,"13 East Kings House Rd, Kingston 6, Jamaica.",barbicanbeachbar13@gmail.com
http://www.oceans11ja.com,Bars,876-974-6896,Oceans 11 Watering Hole,"Lot 6 Fisherman Point Rd Ocho Rios, St Ann Jamaica",manbowen@gmail.com
http://www.pieronejamaica.com,Bars,876-952-2452,Pier - 1 On The Waterfront,"Howard Cooke Blvd Montego Bay, St James Jamaica",info@pieronejamaica.com
http://www.shadesnightclub.com,Bars,876-974-4713,Shades Adult Entertainment Centre,"Content Gardens, Ocho Rios, St Ann, Jamaica",
http://www.yorkpharmacyjm.com,Pharmacies,876-926-7414,York Pharmacy,"91 Half Way Tree Rd, Kingston 10, Jamaica",serronpharmaceutical@yahoo.com
http://www.supermedpharmacy.com,Pharmacies,876-960-2145,Supermed Pharmacy,Mall Plaza Kingston 10 Jamaica,hughendenpharmacy@yahoo.com
http://www.newpavilionrx.com,Pharmacies,876-960-0954,New Pavilion Pharmacy,"Shop # 11 Pavilion Mall 13 Constant Spring Road Kgn 10, St. Andrew Jamaica",pharmacyfren@yahoo.com
